CATEGORY,MEASURE,SHORT_NAME,START_YEAR,END_YEAR,DC_block group,DC_county,DC_tract,MD_block group,MD_county,MD_tract,VA_ahec region,VA_block group,VA_civic association,VA_county,VA_health district,VA_planning district,VA_supervisor district,VA_tract,VA_zip code
broadband,perc_hh_with_cable_fiber_dsl,"Households with cable, fiber optic, or DSL",2017,2021,X,X,X,X,X,X,,X,,X,X,,,X,
broadband,perc_income_min_price_100,Percentage of income for fast internet,2021,2021,X,X,X,X,X,X,,X,,X,,,,X,
broadband,perc_income_avg_nat_package,Percentage of income for internet (average),2021,2021,X,X,X,X,X,X,,X,,X,,,,X,
broadband,perc_income_min_price_25,Percentage of income for good internet,2021,2021,X,X,X,X,X,X,,X,,X,,,,X,
environment,PWDIS,Wastewater Discharge Proximity Risk Index,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,PNPL,Superfund Proximity Index,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,PRMP,RMP Facility Proximity Index,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,RESP,Respiratory HI,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,DSLPM,DPM,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,D_PRMP_2,EJ Index for RMP Facility Proximity,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,D_PM25_2,EJ Index for PM 2.5,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,PM25,PM 2.5,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,D_OZONE_2,EJ Index for Ozone,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,D_PWDIS_2,EJ Index for Risk from Wastewater Discharge,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,D_PNPL_2,EJ Index for Superfund Proximity,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,D_UST_2,EJ Index for Risk from Underground Storage Tanks,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,D_DSLPM_2,EJ Index for DPM,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,D_LDPNT_2,EJ Index for lead paint proxy,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,D_RESP_2,EJ Index for Respiratory HI,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,D_CANCR_2,EJ Index for Cancer Risk,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,D_PTRAF_2,EJ Index for Traffic Proximity,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,D_PTSDF_2,EJ Index for TSDF Proximity,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,PTSDF,Hazardous Waste Proximity Index,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,UST,Underground Storage Tanks Risk Index,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,CANCER,Cancer Risk,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,OZONE,Ozone,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,PRE1960PCT,Lead paint proxy,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,PRE1960,Lead paint proxy,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,PTRAF,Traffic Proximity Index,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,PM25_QRT,PM 2.5,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,DSLPM_QRT,DPM,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,PTRAF_QRT,Traffic Proximity Index,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,PRE1960_QRT,Lead paint proxy,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,PNPL_QRT,Superfund Proximity Index,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,PTSDF_QRT,Hazardous Waste Proximity Index,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,UST_QRT,Underground Storage Tanks Risk Index,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,PWDIS_QRT,Wastewater Discharge Proximity Risk Index,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,OZONE_QRT,Ozone,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,PRMP_QRT,RMP Facility Proximity Index,2022,2022,X,,X,X,,X,,X,,,,,,X,
environment,RISK_SCORE,National Risk Index (NRI),2019,2019,,,X,,,X,,,,,,,,X,
environment,AVLN_RISKS,Avalanche Risk,2019,2019,,,X,,,X,,,,,,,,X,
environment,CFLD_RISKS,Coastal Flooding Risk,2019,2019,,,X,,,X,,,,,,,,X,
environment,CWAV_RISKS,Cold Wave Risk,2019,2019,,,X,,,X,,,,,,,,X,
environment,DRGT_RISKS,Drought Risk,2019,2019,,,X,,,X,,,,,,,,X,
environment,ERQK_RISKS,Earthquake Risk,2019,2019,,,X,,,X,,,,,,,,X,
environment,HAIL_RISKS,Hail Risk,2019,2019,,,X,,,X,,,,,,,,X,
environment,HWAV_RISKS,Heatwave Risk,2019,2019,,,X,,,X,,,,,,,,X,
environment,HRCN_RISKS,Hurricane Risk,2019,2019,,,X,,,X,,,,,,,,X,
environment,ISTM_RISKS,Ice Storm Risk,2019,2019,,,X,,,X,,,,,,,,X,
environment,LNDS_RISKS,Landslide Risk,2019,2019,,,X,,,X,,,,,,,,X,
environment,LTNG_RISKS,Lightning Risk,2019,2019,,,X,,,X,,,,,,,,X,
environment,RFLD_RISKS,Riverine Flood Risk,2019,2019,,,X,,,X,,,,,,,,X,
environment,SWND_RISKS,Strong Wind Risk,2019,2019,,,X,,,X,,,,,,,,X,
environment,TRND_RISKS,Tornado Risk,2019,2019,,,X,,,X,,,,,,,,X,
environment,TSUN_RISKS,Tsunami Risk,2019,2019,,,X,,,X,,,,,,,,X,
environment,VLCN_RISKS,Volcanic Activity Risk,2019,2019,,,X,,,X,,,,,,,,X,
environment,WFIR_RISKS,Wildfire Risk,2019,2019,,,X,,,X,,,,,,,,X,
environment,WNTW_RISKS,Winter Weather Risk,2019,2019,,,X,,,X,,,,,,,,X,
transportation,walkability_index_raw,Walkability Index,2021,2021,,,,,,,,,,X,X,,,X,
transportation,walkability_index_zscore,,2021,2021,,,,,,,,,,X,X,,,X,
transportation,perc_no_vehicle,Without vehicle,2016,2020,,X,X,,X,X,,,,X,,,,X,
transportation,perc_no_vehicle,Without vehicle,2010,2021,,,,,,,,,,X,,,,X,
transportation,perc_carpool,Carpool to work,2016,2020,,X,X,,X,X,,,,X,,,,X,
transportation,commute_time,Commute time,2016,2020,,X,X,,X,X,,,,X,,,,X,
public_safety,incarceration_rate_per_100000,"Incarceration Rate Per 100,000",2020,2020,,,,,,,,,,X,X,,,X,
public_safety,incarceration_rate_per_100000,"Incarceration Rate Per 100,000",2015,2020,,,,,,,,,,X,X,,,X,
education,average_years_schooling,Average Years of Schooling,2017,2021,,,X,,,X,,,,,,,,X,
education,average_years_schooling,Average Years of Schooling,2015,2021,,,,,,,,,,X,X,,,X,
education,schoolFundAdequacy,School funding adequacy,2022,2023,,,,,,,,,,X,,,,,
education,acs_postsecondary_count,Postsecondary Education (count),2010,2021,,X,X,,X,X,,,,X,X,,,X,
education,acs_postsecondary_percent,Postsecondary Education (percent),2010,2021,,X,X,,X,X,,,,X,X,,,X,
education,schools_2year_min_drivetime,2-year school drive time,2013,2021,X,X,X,X,X,X,,X,,X,X,,,,
education,schools_under2year_min_drivetime,<2-year school drive time,2013,2021,X,X,X,X,X,X,,X,,X,X,,,,
education,schools_2year_all,2-year schools,2013,2021,X,X,X,X,X,X,,X,,X,X,,,,
education,schools_under2year,<2-year schools,2013,2021,X,X,X,X,X,X,,X,,X,X,,,,
education,schools_2year_with_biomedical_program,2-year schools with biomedical programs,2013,2021,X,X,X,X,X,X,,X,,X,X,,,,
education,schools_2year_with_computer_program,2-year schools with computer programs,2013,2021,X,X,X,X,X,X,,X,,X,X,,,,
education,schools_2year_with_engineering_program,2-year schools with engineering programs,2013,2021,X,X,X,X,X,X,,X,,X,X,,,,
education,schools_2year_with_physical_program,2-year schools with physical programs,2013,2021,X,X,X,X,X,X,,X,,X,X,,,,
education,schools_2year_with_science_program,2-year schools with science programs,2013,2021,X,X,X,X,X,X,,X,,X,X,,,,
education,median_read_pass_rate,Median 3rd graders passing reading,2015,2021,,,,,,,,,,X,,,,,
education,daycare_min_drivetime,Day Care Drive Time,2021,2021,,,,,,,,X,,X,X,,,X,
education,daycare_capacity,Day Care Capacity,2021,2021,,,,,,,,X,,X,X,,,X,
education,daycare_ratio,Day Care Seats Per 1k Children Under 15,2021,2021,,,,,,,,X,,X,X,,,X,
education,daycare_ratio_over_4,Day Care Seats Per 1k Children Over 4,2021,2021,,,,,,,,X,,X,X,,,X,
education,daycare_ratio_under_10,Day Care Seats Per 1k Children Under 10,2021,2021,,,,,,,,X,,X,X,,,X,
demographics,disconnectedYouth,Disconnected youth,2017,2023,,,,,,,,,,X,,,,,
demographics,voterTurnout,Voter turnout,2023,2023,,,,,,,,,,X,,,,,
demographics,perc_male,Male population,2010,2021,,,,,,,,,,X,,,,X,
demographics,perc_children_raised_by_GPs,Children Raised by Grandparents,2010,2021,,,,,,,,,,X,,,,X,
demographics,age_total_count_direct,Total count of the population direct,2009,2021,,X,X,,X,X,,X,,X,X,X,X,X,X
demographics,age_20_64_percent_direct,Percent of the population between age 20 and 64 direct,2009,2021,,X,X,,X,X,,X,,X,X,X,X,X,X
demographics,age_65_plus_percent_direct,Percent of the population over age 64 direct,2009,2021,,X,X,,X,X,,X,,X,X,X,X,X,X
demographics,age_under_20_count_direct,Population under age 20 direct,2009,2021,,X,X,,X,X,,X,,X,X,X,X,X,X
demographics,age_65_plus_count_direct,Population over age 64 direct,2009,2021,,X,X,,X,X,,X,,X,X,X,X,X,X
demographics,age_under_20_percent_direct,Percent of the population under age 20 direct,2009,2021,,X,X,,X,X,,X,,X,X,X,X,X,X
demographics,age_20_64_count_direct,Population between age 20 and 64 direct,2009,2021,,X,X,,X,X,,X,,X,X,X,X,X,X
demographics,age_total_count_parcels,Total count of the population parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,age_20_64_percent_parcels,Percent of the population between age 20 and 64 parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,age_65_plus_percent_parcels,Percent of the population over age 64 parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,age_under_20_count_parcels,Population under age 20 parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,age_65_plus_count_parcels,Population over age 64 parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,age_under_20_percent_parcels,Percent of the population under age 20 parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,age_20_64_count_parcels,Population between age 20 and 64 parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,gender_total_count_direct,Total count of the population direct,2009,2021,,X,X,,X,X,,X,,X,X,,X,X,X
demographics,gender_female_percent_direct,Percentage of females direct,2009,2021,,X,X,,X,X,,X,,X,X,,X,X,X
demographics,gender_female_count_direct,Female population direct,2009,2021,,X,X,,X,X,,X,,X,X,,X,X,X
demographics,gender_male_count_direct,Male population direct,2009,2021,,X,X,,X,X,,X,,X,X,,X,X,X
demographics,gender_male_percent_direct,Percentage of males direct,2009,2021,,X,X,,X,X,,X,,X,X,,X,X,X
demographics,gender_total_count_parcels,Total count of the population parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,gender_female_percent_parcels,Percentage of females parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,gender_female_count_parcels,Female population parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,gender_male_count_parcels,Male population parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,gender_male_percent_parcels,Percentage of males parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,veteran_count_parcels,The Veteran population parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,veteran_percent_parcels,The Veteran population percent parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,veteran_count_direct,The Veteran population direct,2009,2021,,X,X,,X,X,,X,,X,X,X,X,X,X
demographics,veteran_percent_direct,The Veteran population percent direct,2009,2021,,X,X,,X,X,,X,,X,X,X,X,X,X
demographics,perc_moving,Population moving in the past year.,2015,2021,,,,,,,,,,X,X,,,X,
demographics,race_total_count_parcels,Total count of the population parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_wht_alone_count_parcels,The White population parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_afr_amer_alone_count_parcels,The Black population parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_native_alone_count_parcels,The Native population parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_AAPI_count_parcels,The Asian American/Pacific Islander population parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_other_count_parcels,The Other racial population parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_two_or_more_count_parcels,The two or more races population parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_hispanic_or_latino_count_parcels,The Hispanic/Latino population parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_wht_alone_percent_parcels,The White population percentage parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_afr_amer_alone_percent_parcels,Black population percentage parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_native_alone_percent_parcels,The Native population percentage parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_AAPI_percent_parcels,The Asian American/Pacific Islander population percentage parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_two_or_more_percent_parcels,The two or more races population percentage parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_other_percent_parcels,The Other racial population percentage parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_hispanic_or_latino_percent_parcels,The Hispanic/Latino population percentage parcels,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_native_alone_count_direct,The Native population direct,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_afr_amer_alone_count_direct,The Black population direct,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_afr_amer_alone_percent_direct,Black population percentage direct,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_other_count_direct,The Other racial population direct,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_total_count_direct,Total count of the population direct,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_native_alone_percent_direct,The Native population percentage direct,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_wht_alone_count_direct,The White population direct,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_wht_alone_percent_direct,The White population percentage direct,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_AAPI_count_direct,The Asian American/Pacific Islander population direct,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_hispanic_or_latino_count_direct,The Hispanic/Latino population direct,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_hispanic_or_latino_percent_direct,The Hispanic/Latino population percentage direct,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_two_or_more_count_direct,The two or more races population direct,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_AAPI_percent_direct,The Asian American/Pacific Islander population percentage direct,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_other_percent_direct,The Other racial population percentage direct,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,race_two_or_more_percent_direct,The two or more races population percentage direct,2009,2021,,X,X,,X,X,,,,X,,,,X,
demographics,language_hh_limited_english_count_parcels,Households with limited English parcels,2009,2021,,,,,,,,,,,,,,X,
demographics,language_hh_limited_english_percent_parcels,Percentage of households with limited English parcels,2016,2021,X,X,X,X,X,X,,X,,X,,X,X,X,X
demographics,language_hh_limited_english_count_direct,Households with limited English direct,2016,2021,X,X,X,X,X,X,,X,,X,X,X,X,X,X
demographics,language_hh_limited_english_percent_direct,Percentage of households with limited English direct,2016,2021,X,X,X,X,X,X,,X,,X,X,X,X,X,X
demographics,language_hh_limited_english_count_parcels,Households with limited English parcels,2016,2021,X,X,X,X,X,X,,X,,X,,,,X,
demographics,population_direct,Population (direct method),2015,2021,X,X,X,X,X,X,,X,,X,X,,,,
demographics,population_density_direct,Population Density (direct method),2015,2021,X,X,X,X,X,X,,X,,X,X,,,,
demographics,population_parcels,Population (parcels method),2015,2021,X,X,X,X,X,X,,X,,X,X,,,,
demographics,population_density_parcels,Population Density (parcels method),2015,2021,X,X,X,X,X,X,,X,,X,X,,,,
demographics,segregation_indicator,Segregation indicator,2015,2021,,,,,,,,,,X,X,,,X,
financial_well_being,tot_compensation,,2015,2021,,,,,,,,,,X,,,,,
financial_well_being,tot_employment,,2015,2021,,,,,,,,,,X,,,,,
financial_well_being,earnings_per_job,Earnings per job,2015,2021,,,,,,,,,,X,X,,,,
financial_well_being,total_compensation,,2015,2021,,,,,,,,,,,X,,,,
financial_well_being,total_employment,,2015,2021,,,,,,,,,,,X,,,,
financial_well_being,median_household_income,Median household income,2015,2021,X,X,X,X,X,X,,X,,X,,,,X,
financial_well_being,median_household_income,Median household income,2015,2019,X,X,X,X,X,X,,X,,X,,,,X,
financial_well_being,gini_index,,2015,2021,,X,X,,X,X,,,,X,X,,,X,
financial_well_being,gini_index_geo20,Income Inequality (Gini Index),2015,2021,,,,,,,,,,X,X,,,X,
financial_well_being,gini_index_geo10,,2015,2019,,,,,,,,,,,,,,X,
financial_well_being,material_deprivation_indicator_geo20,Material deprivation indicator,2015,2021,,,,,,,,,,X,,,,X,
financial_well_being,material_deprivation_indicator_geo10,,2015,2019,,,,,,,,,,,,,,X,
financial_well_being,material_deprivation_indicator,,2015,2021,,,,,,,,,,X,,,,X,
financial_well_being,employment_access_index,,2015,2021,,,,,,,,,,X,X,,,X,
financial_well_being,employment_access_index_geo20,Employment Access Index,2015,2021,,,,,,,,,,X,X,,,X,
financial_well_being,employment_access_index_geo10,,2015,2019,,,,,,,,,,,,,,X,
financial_well_being,emp_rate,Percentage employed,2015,2021,,X,X,,X,X,,,,X,,,,X,
financial_well_being,job_participate_rate,,2015,2021,,X,X,,X,X,,,,X,,,,X,
financial_well_being,numerator,,2015,2019,,,,,,,,,,X,,,,X,
financial_well_being,denominator,,2015,2019,,,,,,,,,,X,,,,X,
financial_well_being,emp_rate,Percentage employed,2015,2019,,,,,,,,,,X,,,,X,
financial_well_being,labor_participate_rate_geo20,Labor Force Participation Rate,2015,2021,,,,,,,,,,X,X,,,X,
financial_well_being,labor_participate_rate_geo10,,2015,2019,,,,,,,,,,,,,,X,
financial_well_being,alice_pct,Percentage of ALICE households,2010,2021,,,,,,,,,,X,,,,,
financial_well_being,poverty_pct,Percentage of households in poverty,2010,2021,,,,,,,,,,X,,,,,
financial_well_being,wht_men_pov_cnt,wht_men_pov_cnt,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,wht_men_cnt,,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,wht_men_pov_pct,wht_men_pov_pct,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,wht_women_pov_cnt,wht_women_pov_cnt,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,wht_women_cnt,,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,wht_women_pov_pct,wht_women_pov_pct,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,blk_men_pov_cnt,blk_men_pov_cnt,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,blk_men_cnt,,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,blk_men_pov_pct,blk_men_pov_pct,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,blk_women_pov_cnt,blk_women_pov_cnt,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,blk_women_cnt,,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,blk_women_pov_pct,blk_women_pov_pct,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,asian_men_pov_cnt,asian_men_pov_cnt,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,asian_men_cnt,,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,asian_men_pov_pct,asian_men_pov_pct,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,asian_women_pov_cnt,asian_women_pov_cnt,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,asian_women_cnt,,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,asian_women_pov_pct,asian_women_pov_pct,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,othr_men_pov_cnt,othr_men_pov_cnt,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,othr_men_cnt,,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,othr_men_pov_pct,othr_men_pov_pct,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,othr_women_pov_cnt,othr_women_pov_cnt,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,othr_women_cnt,,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,othr_women_pov_pct,othr_women_pov_pct,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,wht_nonhis_men_pov_cnt,wht_nonhis_men_pov_cnt,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,wht_nonhis_men_cnt,,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,wht_nonhis_men_pov_pct,wht_nonhis_men_pov_pct,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,wht_nonhis_women_pov_cnt,wht_nonhis_women_pov_cnt,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,wht_nonhis_women_cnt,,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,wht_nonhis_women_pov_pct,wht_nonhis_women_pov_pct,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,his_men_pov_cnt,his_men_pov_cnt,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,his_men_cnt,,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,his_men_pov_pct,his_men_pov_pct,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,his_women_pov_cnt,his_women_pov_cnt,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,his_women_cnt,,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,his_women_pov_pct,his_women_pov_pct,2021,2021,,,X,,,X,,,,,,,,X,
financial_well_being,tot_f_wht,The white female population ,2021,2021,,,,,,,,,,,,,,X,
financial_well_being,tot_m_wht,The white male population ,2021,2021,,,,,,,,,,,,,,X,
financial_well_being,tot_f_afr_amer,The African American female population ,2021,2021,,,,,,,,,,,,,,X,
financial_well_being,tot_m_afr_amer,The African American male population ,2021,2021,,,,,,,,,,,,,,X,
financial_well_being,tot_f_asian,The Asian female population ,2021,2021,,,,,,,,,,,,,,X,
financial_well_being,tot_m_asian,The Asian male population ,2021,2021,,,,,,,,,,,,,,X,
financial_well_being,tot_f_other,"The female population that is not white, African American, or Asian",2021,2021,,,,,,,,,,,,,,X,
financial_well_being,tot_m_other,"The male population that is not white, African American, or Asian",2021,2021,,,,,,,,,,,,,,X,
financial_well_being,below_pov_f_wht,The white female population below the poverty line,2021,2021,,,,,,,,,,,,,,X,
financial_well_being,below_pov_m_wht,The white male population below the poverty line,2021,2021,,,,,,,,,,,,,,X,
