geoid,economic_opportunity_quintile,economic_opportunity_level,region_name,region_type
51013102802,5,Very High,"Census Tract 1028.02, Arlington County, Virginia",tract
51013102702,5,Very High,"Census Tract 1027.02, Arlington County, Virginia",tract
51013103501,5,Very High,"Census Tract 1035.01, Arlington County, Virginia",tract
51013102901,5,Very High,"Census Tract 1029.01, Arlington County, Virginia",tract
51013103601,5,Very High,"Census Tract 1036.01, Arlington County, Virginia",tract
51013980200,5,Very High,"Census Tract 9802, Arlington County, Virginia",tract
51013103502,5,Very High,"Census Tract 1035.02, Arlington County, Virginia",tract
51013103602,5,Very High,"Census Tract 1036.02, Arlington County, Virginia",tract
51013101802,5,Very High,"Census Tract 1018.02, Arlington County, Virginia",tract
51013101602,5,Very High,"Census Tract 1016.02, Arlington County, Virginia",tract
51013101801,5,Very High,"Census Tract 1018.01, Arlington County, Virginia",tract
51013103503,5,Very High,"Census Tract 1035.03, Arlington County, Virginia",tract
51013102902,5,Very High,"Census Tract 1029.02, Arlington County, Virginia",tract
51013980100,5,Very High,"Census Tract 9801, Arlington County, Virginia",tract
51015070900,1,Very Low,"Census Tract 709, Augusta County, Virginia",tract
51015070100,1,Very Low,"Census Tract 701, Augusta County, Virginia",tract
51015070800,2,Low,"Census Tract 708, Augusta County, Virginia",tract
51015070300,2,Low,"Census Tract 703, Augusta County, Virginia",tract
51015070200,2,Low,"Census Tract 702, Augusta County, Virginia",tract
51015071000,2,Low,"Census Tract 710, Augusta County, Virginia",tract
51015070600,3,Average,"Census Tract 706, Augusta County, Virginia",tract
51015070700,3,Average,"Census Tract 707, Augusta County, Virginia",tract
51015071101,3,Average,"Census Tract 711.01, Augusta County, Virginia",tract
51015070500,4,High,"Census Tract 705, Augusta County, Virginia",tract
51015071200,4,High,"Census Tract 712, Augusta County, Virginia",tract
51015070400,4,High,"Census Tract 704, Augusta County, Virginia",tract
51015071102,5,Very High,"Census Tract 711.02, Augusta County, Virginia",tract
51017920100,1,Very Low,"Census Tract 9201, Bath County, Virginia",tract
51515050100,1,Very Low,"Census Tract 501, Bedford city, Virginia",tract
51019030101,2,Low,"Census Tract 301.01, Bedford County, Virginia",tract
51019030501,2,Low,"Census Tract 305.01, Bedford County, Virginia",tract
51019030402,2,Low,"Census Tract 304.02, Bedford County, Virginia",tract
51019030202,2,Low,"Census Tract 302.02, Bedford County, Virginia",tract
51019030103,2,Low,"Census Tract 301.03, Bedford County, Virginia",tract
51019030503,2,Low,"Census Tract 305.03, Bedford County, Virginia",tract
51019030601,3,Average,"Census Tract 306.01, Bedford County, Virginia",tract
51019030604,3,Average,"Census Tract 306.04, Bedford County, Virginia",tract
51019030401,3,Average,"Census Tract 304.01, Bedford County, Virginia",tract
51019030201,3,Average,"Census Tract 302.01, Bedford County, Virginia",tract
51019030300,3,Average,"Census Tract 303, Bedford County, Virginia",tract
51019030602,3,Average,"Census Tract 306.02, Bedford County, Virginia",tract
51019030603,4,High,"Census Tract 306.03, Bedford County, Virginia",tract
51019030605,4,High,"Census Tract 306.05, Bedford County, Virginia",tract
51019030104,4,High,"Census Tract 301.04, Bedford County, Virginia",tract
51019030504,5,Very High,"Census Tract 305.04, Bedford County, Virginia",tract
51021040200,1,Very Low,"Census Tract 402, Bland County, Virginia",tract
51021040100,1,Very Low,"Census Tract 401, Bland County, Virginia",tract
51023040301,1,Very Low,"Census Tract 403.01, Botetourt County, Virginia",tract
51023040100,2,Low,"Census Tract 401, Botetourt County, Virginia",tract
51023040401,2,Low,"Census Tract 404.01, Botetourt County, Virginia",tract
51023040302,2,Low,"Census Tract 403.02, Botetourt County, Virginia",tract
51023040200,3,Average,"Census Tract 402, Botetourt County, Virginia",tract
51023040502,3,Average,"Census Tract 405.02, Botetourt County, Virginia",tract
51023040402,4,High,"Census Tract 404.02, Botetourt County, Virginia",tract
51023040501,5,Very High,"Census Tract 405.01, Botetourt County, Virginia",tract
51520020200,1,Very Low,"Census Tract 202, Bristol city, Virginia",tract
51520020100,2,Low,"Census Tract 201, Bristol city, Virginia",tract
51520020400,3,Average,"Census Tract 204, Bristol city, Virginia",tract
51520020300,4,High,"Census Tract 203, Bristol city, Virginia",tract
51025930100,1,Very Low,"Census Tract 9301, Brunswick County, Virginia",tract
51025930201,1,Very Low,"Census Tract 9302.01, Brunswick County, Virginia",tract
51025930202,1,Very Low,"Census Tract 9302.02, Brunswick County, Virginia",tract
51025930203,1,Very Low,"Census Tract 9302.03, Brunswick County, Virginia",tract
51025930300,2,Low,"Census Tract 9303, Brunswick County, Virginia",tract
51027010500,1,Very Low,"Census Tract 105, Buchanan County, Virginia",tract
51027010400,1,Very Low,"Census Tract 104, Buchanan County, Virginia",tract
51027010600,1,Very Low,"Census Tract 106, Buchanan County, Virginia",tract
51027010700,1,Very Low,"Census Tract 107, Buchanan County, Virginia",tract
51027010100,1,Very Low,"Census Tract 101, Buchanan County, Virginia",tract
51027010200,1,Very Low,"Census Tract 102, Buchanan County, Virginia",tract
51027010300,1,Very Low,"Census Tract 103, Buchanan County, Virginia",tract
51029930102,1,Very Low,"Census Tract 9301.02, Buckingham County, Virginia",tract
51029930202,1,Very Low,"Census Tract 9302.02, Buckingham County, Virginia",tract
51029930201,1,Very Low,"Census Tract 9302.01, Buckingham County, Virginia",tract
51029930101,2,Low,"Census Tract 9301.01, Buckingham County, Virginia",tract
51530930600,4,High,"Census Tract 9306, Buena Vista city, Virginia",tract
51031020900,1,Very Low,"Census Tract 209, Campbell County, Virginia",tract
51031020700,1,Very Low,"Census Tract 207, Campbell County, Virginia",tract
51031020200,2,Low,"Census Tract 202, Campbell County, Virginia",tract
51031020500,2,Low,"Census Tract 205, Campbell County, Virginia",tract
51031020600,2,Low,"Census Tract 206, Campbell County, Virginia",tract
51031020101,2,Low,"Census Tract 201.01, Campbell County, Virginia",tract
51031020800,3,Average,"Census Tract 208, Campbell County, Virginia",tract
51031020102,3,Average,"Census Tract 201.02, Campbell County, Virginia",tract
51031020300,4,High,"Census Tract 203, Campbell County, Virginia",tract
51031020403,4,High,"Census Tract 204.03, Campbell County, Virginia",tract
51031020401,4,High,"Census Tract 204.01, Campbell County, Virginia",tract
51031020402,5,Very High,"Census Tract 204.02, Campbell County, Virginia",tract
51033030100,1,Very Low,"Census Tract 301, Caroline County, Virginia",tract
51033030300,2,Low,"Census Tract 303, Caroline County, Virginia",tract
51033030400,2,Low,"Census Tract 304, Caroline County, Virginia",tract
51033030600,2,Low,"Census Tract 306, Caroline County, Virginia",tract
51033030500,3,Average,"Census Tract 305, Caroline County, Virginia",tract
51033030202,3,Average,"Census Tract 302.02, Caroline County, Virginia",tract
51033030201,4,High,"Census Tract 302.01, Caroline County, Virginia",tract
51035080100,1,Very Low,"Census Tract 801, Carroll County, Virginia",tract
51035080200,1,Very Low,"Census Tract 802, Carroll County, Virginia",tract
51035080400,1,Very Low,"Census Tract 804, Carroll County, Virginia",tract
51035080300,1,Very Low,"Census Tract 803, Carroll County, Virginia",tract
51035080602,1,Very Low,"Census Tract 806.02, Carroll County, Virginia",tract
51035080601,1,Very Low,"Census Tract 806.01, Carroll County, Virginia",tract
51035080500,2,Low,"Census Tract 805, Carroll County, Virginia",tract
51036600300,1,Very Low,"Census Tract 6003, Charles City County, Virginia",tract
51036600100,2,Low,"Census Tract 6001, Charles City County, Virginia",tract
51036600200,3,Average,"Census Tract 6002, Charles City County, Virginia",tract
51037930100,1,Very Low,"Census Tract 9301, Charlotte County, Virginia",tract
51037930200,1,Very Low,"Census Tract 9302, Charlotte County, Virginia",tract
51037930300,1,Very Low,"Census Tract 9303, Charlotte County, Virginia",tract
51540000600,1,Very Low,"Census Tract 6, Charlottesville city, Virginia",tract
51540000202,1,Very Low,"Census Tract 2.02, Charlottesville city, Virginia",tract
51540000700,1,Very Low,"Census Tract 7, Charlottesville city, Virginia",tract
51540000800,1,Very Low,"Census Tract 8, Charlottesville city, Virginia",tract
51540000201,1,Very Low,"Census Tract 2.01, Charlottesville city, Virginia",tract
51540000401,1,Very Low,"Census Tract 4.01, Charlottesville city, Virginia",tract
51540001000,1,Very Low,"Census Tract 10, Charlottesville city, Virginia",tract
51540000501,2,Low,"Census Tract 5.01, Charlottesville city, Virginia",tract
51540000402,2,Low,"Census Tract 4.02, Charlottesville city, Virginia",tract
51540000502,3,Average,"Census Tract 5.02, Charlottesville city, Virginia",tract
51540000302,4,High,"Census Tract 3.02, Charlottesville city, Virginia",tract
51540000900,4,High,"Census Tract 9, Charlottesville city, Virginia",tract
51550020001,1,Very Low,"Census Tract 200.01, Chesapeake city, Virginia",tract
51550020200,2,Low,"Census Tract 202, Chesapeake city, Virginia",tract
51550021102,2,Low,"Census Tract 211.02, Chesapeake city, Virginia",tract
51550020002,3,Average,"Census Tract 200.02, Chesapeake city, Virginia",tract
51550020003,3,Average,"Census Tract 200.03, Chesapeake city, Virginia",tract
51550020100,3,Average,"Census Tract 201, Chesapeake city, Virginia",tract
51550020300,3,Average,"Census Tract 203, Chesapeake city, Virginia",tract
51550020400,3,Average,"Census Tract 204, Chesapeake city, Virginia",tract
51550020700,3,Average,"Census Tract 207, Chesapeake city, Virginia",tract
51550021006,3,Average,"Census Tract 210.06, Chesapeake city, Virginia",tract
51550021005,3,Average,"Census Tract 210.05, Chesapeake city, Virginia",tract
51550021200,3,Average,"Census Tract 212, Chesapeake city, Virginia",tract
51550021403,3,Average,"Census Tract 214.03, Chesapeake city, Virginia",tract
51550021404,3,Average,"Census Tract 214.04, Chesapeake city, Virginia",tract
51550021501,3,Average,"Census Tract 215.01, Chesapeake city, Virginia",tract
51550021502,3,Average,"Census Tract 215.02, Chesapeake city, Virginia",tract
51550020600,4,High,"Census Tract 206, Chesapeake city, Virginia",tract
51550020806,4,High,"Census Tract 208.06, Chesapeake city, Virginia",tract
51550020804,4,High,"Census Tract 208.04, Chesapeake city, Virginia",tract
51550020904,4,High,"Census Tract 209.04, Chesapeake city, Virginia",tract
51550021004,4,High,"Census Tract 210.04, Chesapeake city, Virginia",tract
51550021101,4,High,"Census Tract 211.01, Chesapeake city, Virginia",tract
51550021301,4,High,"Census Tract 213.01, Chesapeake city, Virginia",tract
51550021401,4,High,"Census Tract 214.01, Chesapeake city, Virginia",tract
51550021402,4,High,"Census Tract 214.02, Chesapeake city, Virginia",tract
51550021601,4,High,"Census Tract 216.01, Chesapeake city, Virginia",tract
51550021602,4,High,"Census Tract 216.02, Chesapeake city, Virginia",tract
51550020805,4,High,"Census Tract 208.05, Chesapeake city, Virginia",tract
51550020808,4,High,"Census Tract 208.08, Chesapeake city, Virginia",tract
51550020906,4,High,"Census Tract 209.06, Chesapeake city, Virginia",tract
51550020809,4,High,"Census Tract 208.09, Chesapeake city, Virginia",tract
51550020500,4,High,"Census Tract 205, Chesapeake city, Virginia",tract
51550020807,5,Very High,"Census Tract 208.07, Chesapeake city, Virginia",tract
51550020903,5,Very High,"Census Tract 209.03, Chesapeake city, Virginia",tract
51550021302,5,Very High,"Census Tract 213.02, Chesapeake city, Virginia",tract
51550021009,5,Very High,"Census Tract 210.09, Chesapeake city, Virginia",tract
51550020905,5,Very High,"Census Tract 209.05, Chesapeake city, Virginia",tract
51550021013,5,Very High,"Census Tract 210.13, Chesapeake city, Virginia",tract
51550021012,5,Very High,"Census Tract 210.12, Chesapeake city, Virginia",tract
51550021010,5,Very High,"Census Tract 210.10, Chesapeake city, Virginia",tract
51550021011,5,Very High,"Census Tract 210.11, Chesapeake city, Virginia",tract
51041100926,1,Very Low,"Census Tract 1009.26, Chesterfield County, Virginia",tract
51041100600,1,Very Low,"Census Tract 1006, Chesterfield County, Virginia",tract
51041100406,2,Low,"Census Tract 1004.06, Chesterfield County, Virginia",tract
51041100924,2,Low,"Census Tract 1009.24, Chesterfield County, Virginia",tract
51041100819,2,Low,"Census Tract 1008.19, Chesterfield County, Virginia",tract
51041100935,2,Low,"Census Tract 1009.35, Chesterfield County, Virginia",tract
51041100928,2,Low,"Census Tract 1009.28, Chesterfield County, Virginia",tract
51041100907,2,Low,"Census Tract 1009.07, Chesterfield County, Virginia",tract
51041100208,2,Low,"Census Tract 1002.08, Chesterfield County, Virginia",tract
51041100403,2,Low,"Census Tract 1004.03, Chesterfield County, Virginia",tract
51041100817,2,Low,"Census Tract 1008.17, Chesterfield County, Virginia",tract
51041100506,2,Low,"Census Tract 1005.06, Chesterfield County, Virginia",tract
51041100703,2,Low,"Census Tract 1007.03, Chesterfield County, Virginia",tract
51041100920,3,Average,"Census Tract 1009.20, Chesterfield County, Virginia",tract
51041100821,3,Average,"Census Tract 1008.21, Chesterfield County, Virginia",tract
51041100823,3,Average,"Census Tract 1008.23, Chesterfield County, Virginia",tract
51041100936,3,Average,"Census Tract 1009.36, Chesterfield County, Virginia",tract
51041100410,3,Average,"Census Tract 1004.10, Chesterfield County, Virginia",tract
51041100407,3,Average,"Census Tract 1004.07, Chesterfield County, Virginia",tract
51041100929,3,Average,"Census Tract 1009.29, Chesterfield County, Virginia",tract
51041100804,3,Average,"Census Tract 1008.04, Chesterfield County, Virginia",tract
51041100106,3,Average,"Census Tract 1001.06, Chesterfield County, Virginia",tract
51041100701,3,Average,"Census Tract 1007.01, Chesterfield County, Virginia",tract
51041100405,3,Average,"Census Tract 1004.05, Chesterfield County, Virginia",tract
51041100902,3,Average,"Census Tract 1009.02, Chesterfield County, Virginia",tract
51041100300,4,High,"Census Tract 1003, Chesterfield County, Virginia",tract
51041101004,4,High,"Census Tract 1010.04, Chesterfield County, Virginia",tract
51041100812,4,High,"Census Tract 1008.12, Chesterfield County, Virginia",tract
51041101008,4,High,"Census Tract 1010.08, Chesterfield County, Virginia",tract
51041100931,4,High,"Census Tract 1009.31, Chesterfield County, Virginia",tract
51041100915,4,High,"Census Tract 1009.15, Chesterfield County, Virginia",tract
51041100930,4,High,"Census Tract 1009.30, Chesterfield County, Virginia",tract
51041100505,4,High,"Census Tract 1005.05, Chesterfield County, Virginia",tract
51041100923,4,High,"Census Tract 1009.23, Chesterfield County, Virginia",tract
51041100806,4,High,"Census Tract 1008.06, Chesterfield County, Virginia",tract
51041100404,4,High,"Census Tract 1004.04, Chesterfield County, Virginia",tract
51041100209,4,High,"Census Tract 1002.09, Chesterfield County, Virginia",tract
51041101010,4,High,"Census Tract 1010.10, Chesterfield County, Virginia",tract
51041100508,4,High,"Census Tract 1005.08, Chesterfield County, Virginia",tract
51041100409,4,High,"Census Tract 1004.09, Chesterfield County, Virginia",tract
51041100912,4,High,"Census Tract 1009.12, Chesterfield County, Virginia",tract
51041101003,4,High,"Census Tract 1010.03, Chesterfield County, Virginia",tract
51041100927,4,High,"Census Tract 1009.27, Chesterfield County, Virginia",tract
51041101007,4,High,"Census Tract 1010.07, Chesterfield County, Virginia",tract
51041100205,4,High,"Census Tract 1002.05, Chesterfield County, Virginia",tract
51041100805,4,High,"Census Tract 1008.05, Chesterfield County, Virginia",tract
51041100807,4,High,"Census Tract 1008.07, Chesterfield County, Virginia",tract
51041100206,4,High,"Census Tract 1002.06, Chesterfield County, Virginia",tract
51041100921,5,Very High,"Census Tract 1009.21, Chesterfield County, Virginia",tract
51041100814,5,Very High,"Census Tract 1008.14, Chesterfield County, Virginia",tract
51041100816,5,Very High,"Census Tract 1008.16, Chesterfield County, Virginia",tract
51041100932,5,Very High,"Census Tract 1009.32, Chesterfield County, Virginia",tract
51041100922,5,Very High,"Census Tract 1009.22, Chesterfield County, Virginia",tract
51041100107,5,Very High,"Census Tract 1001.07, Chesterfield County, Virginia",tract
51041100815,5,Very High,"Census Tract 1008.15, Chesterfield County, Virginia",tract
51041100210,5,Very High,"Census Tract 1002.10, Chesterfield County, Virginia",tract
51041100509,5,Very High,"Census Tract 1005.09, Chesterfield County, Virginia",tract
51041100822,5,Very High,"Census Tract 1008.22, Chesterfield County, Virginia",tract
51041101011,5,Very High,"Census Tract 1010.11, Chesterfield County, Virginia",tract
51041101012,5,Very High,"Census Tract 1010.12, Chesterfield County, Virginia",tract
51041100933,5,Very High,"Census Tract 1009.33, Chesterfield County, Virginia",tract
51041100934,5,Very High,"Census Tract 1009.34, Chesterfield County, Virginia",tract
51041100818,5,Very High,"Census Tract 1008.18, Chesterfield County, Virginia",tract
51041100510,5,Very High,"Census Tract 1005.10, Chesterfield County, Virginia",tract
51041101013,5,Very High,"Census Tract 1010.13, Chesterfield County, Virginia",tract
51041100507,5,Very High,"Census Tract 1005.07, Chesterfield County, Virginia",tract
51041100820,5,Very High,"Census Tract 1008.20, Chesterfield County, Virginia",tract
51041101009,5,Very High,"Census Tract 1010.09, Chesterfield County, Virginia",tract
51041100910,5,Very High,"Census Tract 1009.10, Chesterfield County, Virginia",tract
51041100702,5,Very High,"Census Tract 1007.02, Chesterfield County, Virginia",tract
51041100919,5,Very High,"Census Tract 1009.19, Chesterfield County, Virginia",tract
51043010100,2,Low,"Census Tract 101, Clarke County, Virginia",tract
51043010200,2,Low,"Census Tract 102, Clarke County, Virginia",tract
51043010300,3,Average,"Census Tract 103, Clarke County, Virginia",tract
51570830200,2,Low,"Census Tract 8302, Colonial Heights city, Virginia",tract
51570830100,3,Average,"Census Tract 8301, Colonial Heights city, Virginia",tract
51570830300,3,Average,"Census Tract 8303, Colonial Heights city, Virginia",tract
51570830500,3,Average,"Census Tract 8305, Colonial Heights city, Virginia",tract
51570830400,4,High,"Census Tract 8304, Colonial Heights city, Virginia",tract
51580060100,1,Very Low,"Census Tract 601, Covington city, Virginia",tract
51580060200,1,Very Low,"Census Tract 602, Covington city, Virginia",tract
51045050100,3,Average,"Census Tract 501, Craig County, Virginia",tract
51047930400,2,Low,"Census Tract 9304, Culpeper County, Virginia",tract
51047930501,2,Low,"Census Tract 9305.01, Culpeper County, Virginia",tract
51047930201,2,Low,"Census Tract 9302.01, Culpeper County, Virginia",tract
51047930300,3,Average,"Census Tract 9303, Culpeper County, Virginia",tract
51047930102,3,Average,"Census Tract 9301.02, Culpeper County, Virginia",tract
51047930502,3,Average,"Census Tract 9305.02, Culpeper County, Virginia",tract
51047930202,4,High,"Census Tract 9302.02, Culpeper County, Virginia",tract
51047930101,5,Very High,"Census Tract 9301.01, Culpeper County, Virginia",tract
51049930200,1,Very Low,"Census Tract 9302, Cumberland County, Virginia",tract
